Name,Clusters
Aakash Shyamlal Chopra,7
Aaron James Finch,5
Aavishkar Madhav Salvi,3
Abhimanyu Mithun,3
Abhinav Kumar,3
Abhinav Mukund,7
Abhishek Arunkumar Jhunjhunwala,7
Abhishek Mohan Nayar,2
Abhishek Santosh Raut,7
Abraham Benjamin de Villiers,5
Abrar Anjum Kazi,3
Abu Nachim Ahmed,3
Adam Charles Voges,4
Adam Craig Gilchrist,6
Adam Fraser Milne,3
Adam John Hollioake,3
Adam Zampa,3
Aditya Pradeep Dole,3
Aditya Prakash Tare,2
Adrian Boris Barath,2
Adrian Dimitri Mascarenhas,2
Aiden Craig Blizzard,9
Ajinkya Madhukar Rahane,4
Ajit Bhalchandra Agarkar,3
Ajit Chandila,3
Akashdeep Deependra Nath,7
Akshar Rajeshbhai Patel,7
Alfonso Clive Thomas,7
Ali Ghulam Murtaza,3
Ambati Thirupathi Rayudu,10
Amit Gajanan Paunikar,7
Amit Mishra,7
Amit Singh,3
Amit Uniyal,3
Ammana Ashish Reddy,7
Anand Rajan,3
Andre Dwayne Russell,10
Andre Nel,3
Andrew Barry McDonald,9
Andrew Flintoff,7
Andrew Symonds,6
Angelo Davis Mathews,6
Anil Kumble,3
Anirudh Singh,3
Anirudh Srikkanth,2
Ankeet Anil Chavan,3
Ankit Nagendra Sharma,3
Ankitsingh Rajpoot,3
Anustup Prabir Majumdar,7
Arindam Nanigopal Ghosh,3
Arjun Shivlal Yadav,3
Asadullah Khan Pathan,7
Ashish Nehra,3
Ashley Allan Noffke,3
Ashok Bhimchandra Dinda,3
Ashok Lakshminarayan Menaria,7
Azhar Mahmood Sagar,4
Azharuddin Arjun Bilakhia,7
Balachandra Akhil,3
Balapuwaduge Ajantha Winslo Mendis,3
Balapuwaduge Manukulasuriya Amith Jeewan Mendis,9
Barinder Sran,3
Ben James Rohrer,2
Ben Laughlin,3
Ben Robert Dunk,2
Benjamin Colin James Cutting,7
Benjamin William Hilfenhaus,3
Beuran Eric Hendricks,3
Bharat Chipli,7
Bhargav Ashokbhai Bhatt,3
Bhuvneshwar Kumar Singh,3
Biplab Bipin Samantray,7
Bipul Sharma,7
Bodapati Apparao Sumanth,3
Bradley James Haddin,9
Bradley John Hodge,1
Brendon Barrie McCullum,1
Brett Geeves,3
Brett Lee,7
Callum James Ferguson,2
Cameron Leon White,5
Carlos Ricardo Brathwaite,7
Chamara Kantha Kapugedera,9
Chandan Madan,3
Chandrasekharan Ganapathy,3
Charl Kenneth Langeveldt,3
Chetanya Nanda,3
Cheteshwar Arvindbhai Pujara,2
Chidambaram Muralidharan Gautam,7
Christopher Austin Lynn,9
Christopher Henry Gayle,8
Christopher Henry Morris,2
Christopher James Jordan,7
Clinton James McKay,3
Colin Alexander Ingram,10
Colin Munro,6
Congenige Randhi Dilhara Fernando,3
Corey James Anderson,2
Dale Willem Steyn,3
Damien Richard Martyn,3
Daniel Joseph Harris,9
Daniel Luca Vettori,2
Daniel Trevor Christian,6
Darren Julius Garvey Sammy,6
Darren Scott Lehmann,7
David Andrew Miller,5
David Andrew Warner,1
David Johan Jacobs,9
David John Hussey,1
David Wiese,2
Debabrata Baidya Das,7
Deepak Hooda,7
Deepak Lokandersingh Chahar,3
Demuni Nuwan Tharanga Zoysa,3
Denagamage Proboth Mahela de Silva Jayawardene,5
Devraj Thyagaraj Patil,3
Dharaka Bhanidipati Ravi Teja,2
Dhawal Sunil Kulkarni,3
Dillon du Preez,7
Dinesh Salunkhe,3
Dirk Peter Nannes,3
Dishant Harendra Yagnik,7
Doddapaneni Kalyankrishna,3
Dominic John Thornely,7
Domnic Joseph Muthuswami,3
Douglas Andrew John Bracewell,7
Douglas Erwin Bollinger,3
Dwayne John Bravo,5
Dwayne Romel Smith,1
Eklavya Rakesh Dwivedi,7
Eoin Joseph Gerard Morgan,4
Faiz Yakub Fazal,2
Farhaan Behardien,9
Fidel Henderson Edwards,3
Francois du Plessis,4
Gade Hanuma Vihari,2
Gagandeep Singh Toor,3
Gautam Gambhir,5
George Bradley Hogg,7
George John Bailey,10
Glenn Donald McGrath,3
Glenn James Maxwell,10
Graeme Craig Smith,6
Graham Richard Napier,2
Gurinder Singh Sandhu,3
Gurkeerat Singh Mann,2
Halhadar Michu Das,3
Harbhajan Singh,2
Hardik Himanshu Pandya,2
Harmeet Singh Baddhan,3
Harmeet Singh Bansal,3
Harpreet Singh Bhatia,7
Harshal Vikrambhai Patel,3
Hashim Mahomed Amla,10
Herschelle Herman Gibbs,4
Hewa Kaluhalmullage Suraj Randiv Kaluhalamulla,7
Irfan Khan Pathan,9
Ishan Malhotra,3
Ishan Pranavkumarpandey Kishan,3
Ishank Rajiv Jaggi,2
Ishant Sharma,3
Ishwar Chand Pandey,3
Ishwar Haribhai Chaudhary,3
Jacob David Philip Oram,2
Jacques Henry Kallis,4
Jagadeesh Arunkumar,3
Jagadeesha Suchith,3
Jagrit Anand,3
Jalaj Sahay Saxena,7
Jamaluddin Syed Mohammad,7
James Douglas Sheehan Neesham,2
James Edward Charles Franklin,4
James Peter Faulkner,2
James Redfern Hopes,9
Jaskaran Singh Butta,3
Jason Omar Holder,7
Jasprit Jasbirsingh Bumrah,3
Jayant Yadav,3
Jaydev Dipakbhai Unadkat,3
Jean-Paul Duminy,5
Jerome Everton Taylor,3
Jesse Daniel Ryder,10
Joginder Sharma,7
Johan Botha,9
Johannes Albertus Morkel,4
Johannes Jacobus van der Wath,2
John Wayne Hastings,7
Joseph Charles Buttler,10
Juan Theron,3
Justin Lee Langer,2
Justin Miles Kemp,9
Kamran Akmal,4
Kamran Khan,3
Kane Stuart Williamson,6
Kane William Richardson,3
Kannur Lokesh Rahul,2
Karan Goel,7
Karanveer Singh,3
Karn Vinod Sharma,2
Karun Kaladharan Nair,2
Kathuria Anureet Singh,3
Kedar Hemant Devdhar,7
Kedar Mahadeo Jadhav,2
Kemar Andre Jamal Roach,3
Kevin Peter Pietersen,5
Kevon Keston Cooper,7
Khan Abdur Razzak,3
Kieron Adrian Pollard,1
Konda Bhaskar Arun Karthik,7
Konganda Charamanna Cariappa,3
Kotragada Prabhu Appanna,3
Krishankumar Dinesh Karthik,4
Krishmar Santokie,3
Krishnakant Rameshwar Upadhyay,3
Krunal Himashu Pandya,7
Kulasekara Mudiyanselage Dinesh Nuwan Kulasekara,7
Kuldeep Yadav,3
Kumar Chokshanada Sangakkara,5
Kyle John Abbott,3
Lakshmipathy Balaji,3
Laxmi Ratan Shukla,2
Lee Andrew Carseldine,7
Lendl Mark Platter Simmons,5
Lindamlilage Prageeth Chamara Silva,2
Lokesh Sharma,3
Lovesh Ablash,3
Luke Anthony Pomersbach,2
Luke James Wright,1
Luke Ronchi,9
Luteru Ross Poutoa Lote Taylor,5
Magina Thilan Thushara Mirando,3
Mahendra Singh Dhoni,5
Mahesh Rawat,7
Makhaya Ntini,3
Manan Vohra,2
Mandeep Singh,9
Manish Krishnanand Pandey,10
Manoj Kumar Tiwary,6
Manpreet Singh Gony,3
Manprit Charanjit Juneja,2
Manvinder Bisla,2
Marchant de Lange,3
Marcus Peter Stoinis,7
Mark Verdon Boucher,2
Marlon Nathaniel Samuels,10
Martin James Guptill,5
Mashrafe Bin Mortaza,7
Mathurage Don Kusal Janith Perera,2
Matthew Lawrence Hayden,9
Matthew Scott Wade,2
Mayank Anurag Agarwal,9
Michael Edward Killeen Hussey,5
Michael Gertges Neser,3
Michael John Buchanan,3
Michael John Clarke,7
Michael John Lumb,5
Michael Klinger,4
Misbah-ul-Haq Khan Niazi,10
Mitchell Aaron Starc,3
Mitchell Guy Johnson,3
Mitchell John McClenaghan,3
Mitchell Ross Marsh,2
Mithun Manhas,2
Mohamed Farveez Maharoof,2
Mohammad Ashraful,2
Mohammad Asif,3
Mohammad Hafeez,4
Mohammad Imran Tahir,3
Mohammad Kaif,2
Mohammad Mustafizur Rahman,3
Mohammad Younis Khan,9
Mohammed Shami,3
Mohit Sharma,3
Mohnish Bipinbhai Parmar,3
Mohnish Dinesh Mishra,2
Moises Constantino Henriques,6
Morne Morkel,3
Morne Nico van Wyk,10
Munaf Musa Patel,3
Murali Kartik,3
Murali Vijay,4
Murugan Ashwin,3
Musavir Asmat Khote,3
Muttiah Muralitharan,3
Naman Vijaykumar Ojha,6
Narangoda Liyanaarachchilage Tissara Chirantha Perera,9
Nathan John Rimmington,3
Nathan Leslie McCullum,9
Nathan Mitchell Coulter-Nile,7
Nayan Dilip Doshi,3
Nicolas James Maddinson,2
Nikhil Shankar Naik,7
Niraj Kanubhai Patel,2
Nitin Saini,7
Nitish Rana,7
Owais Alam Shah,5
Padmaja Vasudevan Manikantan,3
Padmanabhan Prasanth,3
Paidikalva David Vijaykumar,3
Palani Amarnath,3
Pankaj Dharmani,3
Pankaj Singh,3
Paras Dogra,2
Pardeep Sahu,3
Parthiv Ajaybhai Patel,10
Parvez Rasool Zarghav,7
Parvinder Awana,3
Patangay Manikrao Sarvesh Kumar,3
Patrick James Cummins,3
Paul Chandrasekhar Valthaty,7
Paul David Collingwood,9
Pawan Negi,7
Pawan Suyal,3
Peter Stephen Patrick Handscomb,7
Pinal Rohitbhai Shah,7
Piyush Pramod Chawla,2
Pradeep Sangwan,3
Pragyan Prayish Ojha,3
Prasanth Parameswaran,3
Praveenkumar Sakat Singh,7
Pravin Vijay Tambe,3
Produturi Akshath Reddy,2
Quinton de Kock,4
Rahil Akhilahmed Shaikh,3
Rahul Artiprasad Shukla,3
Rahul Mahesh Yadav,3
Rahul Sharad Dravid,6
Rahul Sharma,3
Rahul Tewatia,3
Raiphi Vincent Gomez,7
Rajagopal Sathish,7
Rajat Bhatia,2
Rajesh Kinyaram Bishnoi,7
Rajesh Vithal Pawar,3
Raju Ravi Bhatkal,3
Ramesh Rajaram Powar,3
Ramnaresh Ronnie Sarwan,2
Ramsawamy Shreyas Gopal,3
Ranadeb Ranjit Bose,3
Ranganath Vinay Kumar,7
Ravichandran Ashwin,7
Ravinder Singh Bopara,5
Ravindranath Rampaul,3
Ravindrasinh Anirudhsinh Jadeja,9
Raymond William Price,3
Reetinder Singh Sodhi,3
Richard Ernst Levi,4
Ricky Thomas Ponting,2
Rilee Roscoe Rossouw,6
Rishabh Rajendra Panth,3
Rishi Dhawan,7
Robert John Quiney,2
Robin John Peterson,2
Robin Venu Uthappa,5
Roelof Erasmus van der Merwe,9
Rohan Ravindra Raje,3
Rohan Sunil Gavaskar,3
Rohit Gurunath Sharma,1
Ronit Gajanan More,3
Rudra Pratap Singh,3
Rujul Haren Bhatt,7
Ryan James Harris,3
Ryan McLaren,2
Ryan Neil ten Doeschate,5
Ryan Ninan,3
Sachin Baby,7
Sachin Ramesh Tendulkar,10
Sachin Rana,7
Sahibzada Mohammad Shahid Khan Afridi,10
Salman Butt,9
Samuel Badree,3
Samuel William Billings,2
Sanath Teran Jayasuriya,6
Sandeep Sharma,3
Sanjay Bapusaheb Bangar,7
Sanju Viswanath Samson,9
Sarabjit Singh Ladda,3
Sarfaraz Naushad Khan,3
Sarul Kanwar,7
Saurabh Sunil Tiwary,6
Saurabh Sushant Bandekar,3
Sayed Iqbal Abdulla,3
Scott Bernard Styris,4
