BatsmanName,BowlerName,0s,1s,2s,3s,4s,5s,6s,extras,wickets,total_balls,bat_clust,bowl_clust
A Ashish Reddy,A Nehra,4,4,0,0,1,0,0,0,1,9,2,6
A Ashish Reddy,AB Dinda,1,5,0,0,1,0,0,0,0,7,2,9
A Ashish Reddy,AD Mathews,2,5,2,0,1,0,2,0,0,12,2,7
A Ashish Reddy,AD Russell,0,2,1,0,0,0,0,0,1,3,2,4
A Ashish Reddy,Anureet Singh,0,2,0,0,0,0,0,0,0,2,2,2
A Ashish Reddy,Azhar Mahmood,1,2,0,0,0,0,0,0,0,3,2,5
A Ashish Reddy,B Kumar,0,1,0,0,0,0,0,0,0,1,2,8
A Ashish Reddy,BW Hilfenhaus,1,0,1,0,0,0,0,0,1,2,2,9
A Ashish Reddy,CH Morris,1,2,0,1,0,0,1,0,0,5,2,5
A Ashish Reddy,DJ Bravo,4,4,1,0,3,0,1,0,1,13,2,3
A Ashish Reddy,Harbhajan Singh,3,3,1,0,0,0,1,0,0,8,2,1
A Ashish Reddy,Imran Tahir,0,2,0,0,0,0,0,0,0,2,2,1
A Ashish Reddy,J Botha,2,0,0,0,0,0,0,0,0,2,2,10
A Ashish Reddy,JEC Franklin,1,1,1,0,0,0,0,0,0,3,2,9
A Ashish Reddy,JP Duminy,0,1,0,0,0,0,0,0,0,1,2,1
A Ashish Reddy,JP Faulkner,1,0,1,0,0,0,0,0,0,2,2,10
A Ashish Reddy,KA Pollard,1,1,1,0,0,0,0,0,1,3,2,8
A Ashish Reddy,KK Cooper,1,2,1,0,1,0,0,0,0,5,2,9
A Ashish Reddy,M Kartik,3,4,1,0,0,0,0,0,0,8,2,5
A Ashish Reddy,M Morkel,1,3,1,0,0,0,0,0,1,5,2,2
A Ashish Reddy,MG Johnson,0,1,1,0,1,0,0,0,0,3,2,7
A Ashish Reddy,MM Patel,2,0,0,0,0,0,0,0,1,2,2,7
A Ashish Reddy,MM Sharma,0,1,0,0,0,0,1,0,0,2,2,9
A Ashish Reddy,MR Marsh,0,3,0,0,0,0,0,0,0,3,2,7
A Ashish Reddy,MS Gony,2,1,0,0,1,0,0,0,0,4,2,10
A Ashish Reddy,NM Coulter-Nile,1,0,0,0,0,0,0,0,1,1,2,5
A Ashish Reddy,P Awana,1,0,0,0,1,0,0,0,1,2,2,8
A Ashish Reddy,P Kumar,1,2,0,0,1,0,0,0,0,4,2,9
A Ashish Reddy,PP Chawla,0,2,0,0,0,0,0,0,0,2,2,10
A Ashish Reddy,PV Tambe,1,3,0,0,0,0,0,0,0,4,2,3
A Ashish Reddy,Parvez Rasool,2,4,0,0,2,0,1,0,0,9,2,8
A Ashish Reddy,R Vinay Kumar,2,7,1,0,0,0,1,0,2,11,2,3
A Ashish Reddy,RJ Peterson,3,1,0,0,0,0,1,0,0,5,2,2
A Ashish Reddy,RP Singh,1,1,0,0,0,0,0,0,1,2,2,10
A Ashish Reddy,SL Malinga,2,1,1,0,0,0,0,0,0,4,2,4
A Ashish Reddy,SMSM Senanayake,2,1,1,0,0,0,0,0,1,4,2,6
A Ashish Reddy,SP Narine,0,1,0,0,0,0,0,0,0,1,2,8
A Ashish Reddy,SR Watson,2,3,0,0,0,0,0,0,1,5,2,3
A Ashish Reddy,STR Binny,1,2,1,0,0,0,0,0,1,4,2,10
A Ashish Reddy,SW Tait,1,0,1,0,2,0,0,0,0,4,2,8
A Ashish Reddy,Sandeep Sharma,0,1,0,0,0,0,2,0,0,3,2,5
A Ashish Reddy,TG Southee,0,2,1,0,0,0,1,0,0,4,2,10
A Ashish Reddy,UT Yadav,1,5,1,0,2,0,1,0,0,10,2,8
A Ashish Reddy,YS Chahal,4,1,0,0,0,0,2,0,0,7,2,9
A Chandila,R Rampaul,1,1,0,0,0,0,0,0,0,2,3,10
A Chandila,R Vinay Kumar,1,1,0,0,0,0,0,0,0,2,3,3
A Chandila,RP Singh,0,2,0,0,0,0,0,0,0,2,3,10
A Chandila,V Pratap Singh,1,0,0,0,0,0,0,0,1,1,3,4
A Chopra,DP Vijaykumar,4,1,0,0,0,0,0,0,0,5,6,8
A Chopra,DW Steyn,3,1,0,0,0,0,0,0,1,4,6,4
A Chopra,GD McGrath,2,2,0,0,0,0,0,0,0,4,6,1
A Chopra,Harmeet Singh,5,2,0,0,1,0,0,0,0,8,6,7
A Chopra,JR Hopes,1,1,0,0,0,0,0,0,1,2,6,8
A Chopra,PJ Sangwan,6,3,0,0,1,0,0,0,1,10,6,6
A Chopra,PP Chawla,0,1,0,0,0,0,0,0,0,1,6,10
A Chopra,PP Ojha,3,3,0,0,0,0,0,0,1,6,6,1
A Chopra,RP Singh,0,4,1,0,1,0,0,0,0,6,6,10
A Chopra,SB Bangar,1,1,0,0,2,0,0,0,0,4,6,1
A Chopra,SB Styris,5,1,0,0,1,0,0,0,0,7,6,8
A Chopra,SM Pollock,3,1,0,0,0,0,0,0,0,4,6,3
A Chopra,VY Mahesh,2,1,0,0,1,0,0,0,0,4,6,6
A Chopra,WPUJC Vaas,1,1,0,0,0,0,0,0,0,2,6,6
A Chopra,Y Venugopal Rao,4,2,1,0,0,0,0,0,1,7,6,9
A Chopra,Z Khan,0,1,0,0,0,0,0,0,0,1,6,7
A Flintoff,A Nehra,2,1,1,0,0,0,0,0,1,4,2,6
A Flintoff,DJ Bravo,3,1,0,1,1,0,1,0,0,7,2,3
A Flintoff,DL Vettori,3,2,1,0,0,0,0,0,0,6,2,2
A Flintoff,DP Nannes,1,0,0,0,0,0,0,0,0,1,2,1
A Flintoff,DW Steyn,1,5,0,0,1,0,1,0,0,8,2,4
A Flintoff,Harbhajan Singh,2,3,0,0,0,0,0,0,1,5,2,1
A Flintoff,KP Pietersen,1,2,0,0,1,0,0,0,0,4,2,9
A Flintoff,MK Tiwary,0,3,0,0,0,0,0,0,0,3,2,7
A Flintoff,P Kumar,0,2,0,0,0,0,0,0,0,2,2,9
A Flintoff,PJ Sangwan,0,3,0,0,1,0,0,0,0,4,2,6
A Flintoff,RR Raje,0,1,0,0,0,0,0,0,0,1,2,4
A Flintoff,SL Malinga,1,2,0,0,1,0,0,0,0,4,2,4
A Flintoff,ST Jayasuriya,0,3,0,0,1,0,0,0,0,4,2,7
A Flintoff,Z Khan,3,1,0,0,0,0,0,0,0,4,2,7
A Kumble,A Flintoff,1,1,0,0,0,0,0,0,0,2,5,10
A Kumble,A Mishra,0,1,0,0,0,0,0,0,0,1,5,9
A Kumble,AB McDonald,0,1,0,0,0,0,0,0,0,1,5,10
A Kumble,CRD Fernando,1,2,0,0,0,0,0,0,0,3,5,10
A Kumble,DJ Bravo,1,1,0,0,1,0,0,0,0,3,5,3
A Kumble,Harbhajan Singh,1,1,0,0,0,0,0,0,0,2,5,1
A Kumble,Harmeet Singh,1,1,0,0,0,0,0,0,0,2,5,7
A Kumble,IK Pathan,2,2,0,0,2,0,0,0,0,6,5,2
A Kumble,JA Morkel,0,0,1,0,0,0,0,0,0,1,5,5
A Kumble,M Muralitharan,3,0,0,0,0,0,0,0,0,3,5,5
A Kumble,PP Chawla,3,1,0,0,0,0,0,0,0,4,5,10
A Kumble,R McLaren,1,2,0,0,0,0,0,0,0,3,5,9
A Kumble,RA Jadeja,1,2,0,0,0,0,0,0,0,3,5,4
A Kumble,RJ Harris,1,1,0,0,0,0,0,0,0,2,5,5
A Kumble,RP Singh,0,2,0,0,0,0,0,0,0,2,5,10
A Kumble,SK Warne,1,1,0,0,1,0,0,0,0,3,5,2
A Kumble,SL Malinga,0,1,0,0,0,0,0,0,0,1,5,4
A Kumble,Sohail Tanvir,1,1,0,0,0,0,0,0,1,2,5,10
A Kumble,VRV Singh,1,2,0,0,0,0,0,0,0,3,5,9
A Kumble,YA Abdulla,1,1,0,0,0,0,0,0,1,2,5,3
A Mishra,A Nehra,0,2,1,0,0,0,0,0,1,3,1,6
A Mishra,A Singh,0,2,0,0,0,0,0,0,0,2,1,3
A Mishra,A Symonds,1,0,0,0,0,0,0,0,1,1,1,7
A Mishra,AB Agarkar,1,4,0,0,0,0,0,0,0,5,1,2
A Mishra,AB Dinda,3,9,1,0,2,0,0,0,1,15,1,9
A Mishra,AD Mathews,2,6,0,0,0,0,0,0,0,8,1,7
A Mishra,AG Murtaza,0,3,0,0,0,0,0,0,0,3,1,1
A Mishra,AN Ahmed,1,3,0,0,0,0,0,0,1,4,1,9
A Mishra,Azhar Mahmood,0,3,0,0,1,0,0,0,0,4,1,5
A Mishra,B Lee,0,2,0,0,0,0,0,0,0,2,1,6
A Mishra,CH Morris,3,1,1,0,0,0,0,0,0,5,1,5
A Mishra,CRD Fernando,1,2,1,0,0,0,0,0,1,4,1,10
A Mishra,D Wiese,0,1,0,0,0,0,0,0,0,1,1,9
A Mishra,DE Bollinger,4,0,1,0,0,0,0,0,2,5,1,2
A Mishra,DJ Bravo,0,2,0,0,0,0,0,0,0,2,1,3
A Mishra,DS Kulkarni,1,2,0,1,0,0,0,0,0,4,1,8
A Mishra,GB Hogg,5,1,0,0,0,0,0,0,1,6,1,5
A Mishra,Harbhajan Singh,2,6,0,0,1,0,0,0,0,9,1,1
A Mishra,Harmeet Singh,1,0,0,0,0,0,0,0,1,1,1,7
A Mishra,I Sharma,2,1,0,0,0,0,0,0,0,3,1,7
A Mishra,IK Pathan,1,4,2,0,0,0,0,0,0,7,1,2
A Mishra,Iqbal Abdulla,2,5,0,0,2,0,0,0,1,9,1,1
A Mishra,J Theron,0,4,0,0,0,0,0,0,0,4,1,6
A Mishra,JA Morkel,1,1,0,0,0,0,0,0,0,2,1,5
